Date,ret
2010-06-29,
2010-06-30,-0.0025114782580187844
2010-07-01,-0.07847273575876412
2010-07-02,-0.12568307167816883
2010-07-06,-0.1609374805004331
2010-07-07,-0.01924297661377916
2010-07-08,0.10506362722128282
2010-07-09,-0.0034364841863351314
2010-07-12,-0.02011461562453598
2010-07-13,0.0639289510054164
2010-07-14,0.09371617665324083
2010-07-15,0.0025198878627819
2010-07-16,0.037707445294532294
2010-07-19,0.061531224212653335
2010-07-20,-0.07348287920236107
2010-07-21,-0.0039406020481688175
2010-07-22,0.03857561176118107
2010-07-23,0.01380928948622584
2010-07-26,-0.015969457329390924
2010-07-27,-0.019093312001988383
2010-07-28,0.008272254525232503
2010-07-29,-0.017856629679271374
2010-07-30,-0.020147975299607768
2010-08-02,0.049148019509556384
2010-08-03,0.049234677414874195
2010-08-04,-0.03143508926483185
2010-08-05,-0.03809974068609223
2010-08-06,-0.042053550458681865
2010-08-09,0.0005107013613774303
2010-08-10,-0.029081616408254796
2010-08-11,-0.05938040000563782
2010-08-12,-0.016759764816661193
2010-08-13,0.040909082134644725
2010-08-16,0.02510940643519488
2010-08-17,0.019702096741006425
2010-08-18,-0.019843859526424312
2010-08-19,0.0010660247527327638
2010-08-20,0.016497603950921036
2010-08-23,0.05392702198597554
2010-08-24,-0.04619972867894784
2010-08-25,0.0364585787756424
2010-08-26,-0.0075376796372036425
2010-08-27,-0.0025320952832696975
2010-08-30,0.008629907354391841
2010-08-31,-0.01962759194651742
2010-09-01,0.04979416207515186
2010-09-02,0.029829144772519856
2010-09-03,-0.00047513900532925035
2010-09-07,-0.024227978059821575
2010-09-08,0.017526729380981543
2010-09-09,-0.009090423749782306
2010-09-10,-0.026074364131400518
2010-09-13,0.02726774495198714
2010-09-14,0.01930526454414827
2010-09-15,0.04071945515935771
2010-09-16,-0.04731549619170161
2010-09-17,-0.033906161284188
2010-09-20,0.041027931471588897
2010-09-21,-0.013769946116383935
2010-09-22,-0.04333176157333496
2010-09-23,-0.015601624605655506
2010-09-24,0.02760737177802386
2010-09-27,0.021393262985027306
2010-09-28,0.042376975738883216
2010-09-29,0.02710233753211755
2010-09-30,-0.07142812979779545
2010-10-01,0.009308660462294727
2010-10-04,0.018932060409265317
2010-10-05,0.006193659540913998
2010-10-06,-0.03125002116642228
2010-10-07,-0.00146625682208823
2010-10-08,0.0
2010-10-11,-0.009300250216974892
2010-10-12,0.0
2010-10-13,0.014822123387648434
2010-10-14,0.01022391096282882
2010-10-15,-0.01012044048045202
2010-10-18,-0.015092021292617885
2010-10-19,-0.008897736576826909
2010-10-20,0.029925241521389756
2010-10-21,0.004842089585324949
2010-10-22,-0.0014457649007199036
2010-10-25,0.006274368474681324
2010-10-26,0.02446046003637159
2010-10-27,-0.01685396644626902
2010-10-28,0.009047900081496474
2010-10-29,0.030674556193044822
2010-11-01,-0.019688855560503482
2010-11-02,-0.007472687021170432
2010-11-03,0.024470155498245383
2010-11-04,0.14377604178645087
2010-11-05,-0.01847406504906357
2010-11-08,0.022094938803772557
2010-11-09,-0.014011054969474968
2010-11-10,0.1920420319478
2010-11-11,-0.04495910574501383
2010-11-12,0.06419402156812715
2010-11-15,0.032171591890691076
2010-11-16,-0.0366881541441354
2010-11-17,-0.006066776365728277
2010-11-18,0.01356408921342056
2010-11-19,0.03680144573048749
2010-11-22,0.07776715575172699
2010-11-23,0.03502996685625215
2010-11-24,0.02603410509354287
2010-11-26,-0.004228921333170432
2010-11-29,-0.02802943524065815
2010-11-30,0.029128801748865785
2010-12-01,-0.027738381572273152
2010-12-02,-0.058224004357750325
2010-12-03,-0.026584515080451898
2010-12-06,-0.03747188748155783
2010-12-07,0.04124034900508433
2010-12-08,0.025665350982955415
2010-12-09,-0.009885532566121902
2010-12-10,-0.016537022400891055
2010-12-13,-0.0307737028640529
2010-12-14,-0.06612133989027202
2010-12-15,0.03750423374748646
2010-12-16,0.040878503341616135
2010-12-17,0.017851562953419053
2010-12-20,0.010841505307454424
2010-12-21,0.017665917077026805
2010-12-22,0.011469033321800381
2010-12-23,-0.07784232543417324
2010-12-27,-0.15088086511475107
2010-12-28,0.033659857202175125
2010-12-29,0.04998109285018604
2010-12-30,-0.04435629349802872
2010-12-31,0.004905303869930933
2011-01-03,-0.0003751534405773693
2011-01-04,0.0018780833138420938
2011-01-05,0.005999418703857007
2011-01-06,0.03913531913849955
2011-01-07,0.01291244166982164
2011-01-10,0.0074362904219000825
2011-01-11,-0.05237292648152814
2011-01-12,0.0
2011-01-13,-0.027447877651981645
2011-01-14,-0.017925039590372838
2011-01-18,-0.004272297936307123
2011-01-19,-0.0627922987805779
2011-01-20,-0.058676642941388746
2011-01-21,0.018567637160444184
2011-01-24,0.0629342000428097
2011-01-25,0.007757924088131141
2011-01-26,0.002836461877340879
2011-01-27,0.006868478122891375
2011-01-28,-0.03651643972767182
2011-01-31,0.003748463585715456
2011-02-01,-0.007884060336704302
2011-02-02,0.0012546890047229198
2011-02-03,-0.012949221472192907
2011-02-04,-0.007194027386309587
2011-02-07,-0.016624055443599906
2011-02-08,0.061551988698525184
2011-02-09,-0.05226659583231452
2011-02-10,0.0004310487620542425
2011-02-11,0.0012919730485350112
2011-02-14,-0.007311605863005277
2011-02-15,-0.010398555109312757
2011-02-16,0.08274949371947526
2011-02-17,-0.045693856863991744
2011-02-18,-0.017796611838969856
2011-02-22,-0.05651408568861083
2011-02-23,-0.0018291840377283597
2011-02-24,0.03206618689148577
2011-02-25,0.04793610381970548
2011-02-28,0.011859582363053844
2011-03-01,0.002092698951420058
