,Ticker,wacc
0,NVDA,0.11235617329568058
1,AMD,0.13847894513871176
2,TSM,0.09758912064283817
3,ASML,0.0928339850352461
4,MU,0.0975196268434733
5,AMAT,0.11122096930589268
6,GOOG,0.09762954003784678
7,AAPL,0.09219343018938393
8,META,0.09562208669741837
9,TSLA,0.15526474211411692
10,DUK,0.058388686354977126
11,GLD,
12,X,0.12547707119267157
13,PG,0.05538768525562929
14,TLT,
15,CVS,0.058143979899733515
16,VGIT,
17,GOVT,
