Date,ret
1995-03-15,
1995-03-16,0.10000035643419936
1995-03-17,-0.03535394070698239
1995-03-20,-0.005235233674723561
1995-03-21,0.047368100694856086
1995-03-22,0.12060287009589166
1995-03-23,-0.022421276225950693
1995-03-24,0.0045866813808324025
1995-03-27,0.013699247544208815
1995-03-28,0.0315314514204752
1995-03-29,0.004366791209091225
1995-03-30,-0.05652168284317438
1995-03-31,0.03686610476676888
1995-04-03,-0.022222339205760777
1995-04-04,-0.05909094308019025
1995-04-05,-0.024154005037763326
1995-04-06,0.0
1995-04-07,0.0
1995-04-10,0.04950478197148378
1995-04-11,0.0
1995-04-12,0.018867677092726742
1995-04-13,-0.018518280162311607
1995-04-17,-0.03301917209459182
1995-04-18,-0.019511945374962925
1995-04-19,-0.009950446242447564
1995-04-20,0.0
1995-04-21,0.020100078790285192
1995-04-24,0.12315316285587152
1995-04-25,-0.03947400699880943
1995-04-26,0.03652997466273944
1995-04-27,0.004405338701177319
1995-04-28,-0.03947400699880943
1995-05-01,-0.004565739787161016
1995-05-02,0.0045866813808324025
1995-05-03,0.027397593673872622
1995-05-04,0.062222008727264466
1995-05-05,0.01255265895047808
1995-05-08,0.016528982924061797
1995-05-09,-0.028455682529925475
1995-05-10,-0.03347265589159043
1995-05-11,-0.02164485177570119
1995-05-12,0.05752177894088395
1995-05-15,0.02928912455998378
1995-05-16,0.0
1995-05-17,0.10162559381727854
1995-05-18,0.02952016438672156
1995-05-19,-0.03225763084913447
1995-05-22,-0.014814927194818028
1995-05-23,0.03759387243213541
1995-05-24,0.028985614361510592
1995-05-25,-0.031690167768137156
1995-05-26,-0.00727257413064053
1995-05-30,-0.03800359507391715
1995-05-31,-0.017610459060966366
1995-06-01,0.013565727493723312
1995-06-02,0.017208171829200092
1995-06-05,0.01127832871154233
1995-06-06,-0.022305093249475383
1995-06-07,0.007604653590627342
1995-06-08,0.007547073062518228
1995-06-09,0.01123621258687968
1995-06-12,-0.0037036861020164347
1995-06-13,0.003717454386161334
1995-06-14,-0.014814927194818028
1995-06-15,0.0037592573684011032
1995-06-16,0.0
1995-06-19,0.01123621258687968
1995-06-20,0.0037033814574294333
1995-06-21,-0.0073797375761457396
1995-06-22,-0.014870062166316922
1995-06-23,0.0
1995-06-26,0.026415345464843698
1995-06-27,-0.01838268736500659
1995-06-28,-0.014981267639182838
1995-06-29,0.06844094405641865
1995-06-30,0.021352453589093434
1995-07-03,0.031359144255158844
1995-07-05,0.04391865342584178
1995-07-06,0.0
1995-07-07,0.02589016991079518
1995-07-10,0.022081758959852316
1995-07-11,-0.01851823267907171
1995-07-12,0.0503144328728935
1995-07-13,0.15269443057399434
1995-07-14,-0.03636355556626636
1995-07-17,0.00539081048038037
1995-07-18,-0.03217160920144502
1995-07-19,-0.008309983208325433
1995-07-20,0.0837987502166635
1995-07-21,0.023195723739719787
1995-07-24,0.03526432142479763
1995-07-25,0.04866206460182143
1995-07-26,0.002320136553162433
1995-07-27,0.030092795512706605
1995-07-28,0.00449399057594313
1995-07-31,0.0022370897003560763
1995-08-01,-0.05915169030638756
1995-08-02,-0.03914582858152715
1995-08-03,-0.022222160841969485
1995-08-04,-0.06060627713033406
1995-08-07,0.03763468439911022
1995-08-08,0.020725376676639984
1995-08-09,-0.02030455708284573
1995-08-10,-0.028497574059751063
1995-08-11,0.016000015441828497
1995-08-14,0.0419948193329589
1995-08-15,-0.0025188386639621863
1995-08-16,0.060606194045438544
1995-08-17,-0.0023809801719987256
1995-08-18,-0.002386898341153909
1995-08-21,-0.08373211466137298
1995-08-22,0.018276810401243404
1995-08-23,0.01794884860342716
1995-08-24,-0.01763236790144429
1995-08-25,0.0051280978355960904
1995-08-28,-0.015305803847207478
1995-08-29,-0.02590687001116443
1995-08-30,-0.0053187747155934995
1995-08-31,0.00802130687128999
1995-09-01,0.029177621143605892
1995-09-05,0.06443331970347166
1995-09-06,0.002420857100361662
1995-09-07,-0.00241501070455008
1995-09-08,-0.0024218927441125304
1995-09-11,0.048543871521391946
1995-09-12,-0.027777648726932003
1995-09-13,-0.011904900859993406
1995-09-14,-0.007229080337905147
1995-09-15,-0.04368912500684785
1995-09-18,-0.01776670665243152
1995-09-19,0.0180880721237624
1995-09-20,0.010152487308033864
1995-09-21,-0.012563042132579971
1995-09-22,-0.09923655686316468
1995-09-25,0.03389842323188663
1995-09-26,0.0068302308281811275
1995-09-27,-0.07191277185692391
1995-09-28,0.02631541984956076
1995-09-29,0.0
1995-10-02,-0.09401690093527781
1995-10-03,0.018867627800788878
1995-10-04,-0.00925886246897445
1995-10-05,-0.003115403376320325
1995-10-06,0.018750322590064483
1995-10-09,-0.02147294029640312
1995-10-10,-0.018808486762511123
1995-10-11,0.04153382070470202
1995-10-12,0.042944265790070935
1995-10-13,-0.01176465237452462
1995-10-16,-0.01785706067303594
1995-10-17,0.08787872503639615
1995-10-18,0.09749308905606902
1995-10-19,-0.07868021088767985
1995-10-20,0.022038555258222514
1995-10-23,0.048517737741464506
1995-10-24,0.03341898747784966
1995-10-25,-0.01990064695047067
1995-10-26,-0.02538075898354042
1995-10-27,-0.01041661847093489
1995-10-30,0.028947103203024405
1995-10-31,0.015345453192976644
1995-11-01,-0.005037925954778921
1995-11-02,-0.007595027806454491
1995-11-03,0.005102354279360233
1995-11-06,0.0076141358377532775
1995-11-07,-0.06297245836018162
1995-11-08,0.0
1995-11-09,0.024193662509976566
1995-11-10,-0.002624530482619347
1995-11-13,-0.050000069266564084
1995-11-14,-0.033240844235526756
1995-11-15,-0.008595806203641976
