"Week","chatgpt: (Worldwide)","AI: (Worldwide)","Artificial intelligence: (Worldwide)"
2024-03-10,69,90,76
2024-03-17,72,92,78
2024-03-24,62,91,74
2024-03-31,65,85,72
2024-04-07,66,90,73
2024-04-14,72,90,78
2024-04-21,76,91,85
2024-04-28,74,91,75
2024-05-05,72,90,74
2024-05-12,79,95,81
2024-05-19,80,94,82
2024-05-26,80,94,84
2024-06-02,86,96,81
2024-06-09,72,100,81
2024-06-16,66,92,78
2024-06-23,63,87,75
2024-06-30,60,85,71
2024-07-07,63,91,71
2024-07-14,63,89,73
2024-07-21,65,91,74
